Aerolínea,Numero_Vuelo,Ciudad_Conexion,Hora_Estimada,Fecha_Vuelo,Tipo_de_Vuelo,Estado,Tipo_movimiento,Pagina_Fuente
info/aeronautica_civil/media/1756486723_latam.jpg,4063,Bogotá,07:15 AM,2026-05-09 07:43,Nacional,,Llegada,1
info/aeronautica_civil/media/1756486629_avianca.jpg,8493,Bogotá,07:40 AM,2026-05-09 07:43,Nacional,,Llegada,1
info/aeronautica_civil/media/1756486763_jetsmart.jpg,5302,Bogotá,07:45 AM,2026-05-09 07:43,Nacional,,Llegada,1
info/aeronautica_civil/media/1756486723_latam.jpg,4065,Bogotá,08:15 AM,2026-05-09 07:43,Nacional,,Llegada,1
info/aeronautica_civil/media/1756486644_satena.png,8688,Tumaco,08:52 AM,2026-05-09 07:43,Nacional,,Llegada,1
info/aeronautica_civil/media/1756486629_avianca.jpg,8553,Bogotá,09:00 AM,2026-05-09 07:43,Nacional,,Llegada,1
info/aeronautica_civil/media/1756486629_avianca.jpg,8465,Bogotá,09:30 AM,2026-05-09 07:43,Nacional,,Llegada,1
info/aeronautica_civil/media/1756486763_jetsmart.jpg,5593,San Andrés,09:38 AM,2026-05-09 07:43,Nacional,,Llegada,1
info/aeronautica_civil/media/1756486723_latam.jpg,4067,Bogotá,10:05 AM,2026-05-09 07:43,Nacional,,Llegada,1
info/aeronautica_civil/media/1756486763_jetsmart.jpg,5532,Cartagena,10:16 AM,2026-05-09 07:43,Nacional,,Llegada,1
info/aeronautica_civil/media/1756486629_avianca.jpg,8523,Bogotá,10:20 AM,2026-05-09 07:43,Nacional,,Llegada,2
info/aeronautica_civil/media/1756486748_clic.jpg,6989,Pasto,10:35 AM,2026-05-09 07:43,Nacional,,Llegada,2
info/aeronautica_civil/media/1756486644_satena.png,6545,Bahía Solano,10:52 AM,2026-05-09 07:43,Nacional,,Llegada,2
info/aeronautica_civil/media/1756486682_copa_arilines.jpg,282,Panama City,11:06 AM,2026-05-09 07:43,Internacional,,Llegada,2
info/aeronautica_civil/media/1756486644_satena.png,8653,Guapi,11:21 AM,2026-05-09 07:43,Nacional,,Llegada,2
info/aeronautica_civil/media/1756486748_clic.jpg,7795,Tumaco,11:25 AM,2026-05-09 07:43,Nacional,,Llegada,2
info/aeronautica_civil/media/1756486644_satena.png,6549,Nuquí,11:47 AM,2026-05-09 07:43,Nacional,,Llegada,2
info/aeronautica_civil/media/1756486629_avianca.jpg,8567,Bogotá,12:00 PM,2026-05-09 07:43,Nacional,,Llegada,2
info/aeronautica_civil/media/1756486629_avianca.jpg,9227,Bogotá,12:25 PM,2026-05-09 07:43,Nacional,,Llegada,2
info/aeronautica_civil/media/1756486748_clic.jpg,6909,Guapi,12:45 PM,2026-05-09 07:43,Nacional,,Llegada,2
info/aeronautica_civil/media/1756486723_latam.jpg,4075,Bogotá,12:55 PM,2026-05-09 07:43,Nacional,,Llegada,3
info/aeronautica_civil/media/info/aeronautica_civil/mod/Aerolineas/img/aerolineaDefecto.png,810,,01:08 PM,2026-05-09 07:43,Internacional,,Llegada,3
info/aeronautica_civil/media/1756486663_american.jpg,919,Miami,01:08 PM,2026-05-09 07:43,Internacional,,Llegada,3
info/aeronautica_civil/media/1756486629_avianca.jpg,8411,Bogotá,01:15 PM,2026-05-09 07:43,Nacional,,Llegada,3
info/aeronautica_civil/media/1756486644_satena.png,7745,Pitalito,01:55 PM,2026-05-09 07:43,Nacional,,Llegada,3
info/aeronautica_civil/media/1756486723_latam.jpg,4372,Cartagena,01:55 PM,2026-05-09 07:43,Nacional,,Llegada,3
info/aeronautica_civil/media/1756486629_avianca.jpg,9431,Medellín,02:00 PM,2026-05-09 07:43,Nacional,,Llegada,3
info/aeronautica_civil/media/1756486682_copa_arilines.jpg,307,Panama City,02:10 PM,2026-05-09 07:43,Internacional,,Llegada,3
info/aeronautica_civil/media/1756486629_avianca.jpg,9545,Bogotá,02:10 PM,2026-05-09 07:43,Nacional,,Llegada,3
info/aeronautica_civil/media/1756486748_clic.jpg,6915,Medellín (Olaya Herrera),02:15 PM,2026-05-09 07:43,Nacional,,Llegada,3
info/aeronautica_civil/media/1756486763_jetsmart.jpg,5835,,02:30 PM,2026-05-09 07:43,Internacional,,Llegada,4
info/aeronautica_civil/media/1756584170_wingo.jpg,7256,Bogotá,02:39 PM,2026-05-09 07:43,Nacional,,Llegada,4
info/aeronautica_civil/media/1756486763_jetsmart.jpg,5308,Bogotá,03:20 PM,2026-05-09 07:43,Nacional,,Llegada,4
info/aeronautica_civil/media/1756486629_avianca.jpg,9205,Bogotá,03:35 PM,2026-05-09 07:43,Nacional,,Llegada,4
info/aeronautica_civil/media/1756486644_satena.png,8773,Florencia,03:40 PM,2026-05-09 07:43,Nacional,,Llegada,4
info/aeronautica_civil/media/1756486723_latam.jpg,4089,Bogotá,04:45 PM,2026-05-09 07:43,Nacional,,Llegada,4
info/aeronautica_civil/media/1756486748_clic.jpg,7773,Villavicencio,04:55 PM,2026-05-09 07:43,Nacional,,Llegada,4
info/aeronautica_civil/media/1756486629_avianca.jpg,9294,Pasto,05:30 PM,2026-05-09 07:43,Nacional,,Llegada,4
info/aeronautica_civil/media/1756486682_copa_arilines.jpg,830,Panama City,05:36 PM,2026-05-09 07:43,Internacional,,Llegada,4
info/aeronautica_civil/media/1756486629_avianca.jpg,9527,Bogotá,05:45 PM,2026-05-09 07:43,Nacional,,Llegada,4
info/aeronautica_civil/media/1756584170_wingo.jpg,7260,Bogotá,05:59 PM,2026-05-09 07:43,Nacional,,Llegada,5
info/aeronautica_civil/media/1756486629_avianca.jpg,8592,Barranquilla,06:40 PM,2026-05-09 07:43,Nacional,,Llegada,5
info/aeronautica_civil/media/1756486757_aeromexico-new.png,754,Ciudad de México,06:55 PM,2026-05-09 07:43,Internacional,,Llegada,5
info/aeronautica_civil/media/1756486644_satena.png,8821,Tumaco,07:00 PM,2026-05-09 07:43,Nacional,,Llegada,5
info/aeronautica_civil/media/1756486629_avianca.jpg,9257,Bogotá,07:05 PM,2026-05-09 07:43,Nacional,,Llegada,5
info/aeronautica_civil/media/1756486763_jetsmart.jpg,5536,Cartagena,07:20 PM,2026-05-09 07:43,Nacional,,Llegada,5
info/aeronautica_civil/media/1756486723_latam.jpg,4079,Bogotá,07:25 PM,2026-05-09 07:43,Nacional,,Llegada,5
info/aeronautica_civil/media/1756584170_wingo.jpg,7260,Bogotá,05:59 PM,2026-05-09 07:43,Nacional,,Llegada,6
info/aeronautica_civil/media/1756486629_avianca.jpg,8592,Barranquilla,06:40 PM,2026-05-09 07:43,Nacional,,Llegada,6
info/aeronautica_civil/media/1756486757_aeromexico-new.png,754,Ciudad de México,06:55 PM,2026-05-09 07:43,Internacional,,Llegada,6
info/aeronautica_civil/media/1756486644_satena.png,8821,Tumaco,07:00 PM,2026-05-09 07:43,Nacional,,Llegada,6
info/aeronautica_civil/media/1756486629_avianca.jpg,9257,Bogotá,07:05 PM,2026-05-09 07:43,Nacional,,Llegada,6
info/aeronautica_civil/media/1756486763_jetsmart.jpg,5536,Cartagena,07:20 PM,2026-05-09 07:43,Nacional,,Llegada,6
info/aeronautica_civil/media/1756486723_latam.jpg,4079,Bogotá,07:25 PM,2026-05-09 07:43,Nacional,,Llegada,6
info/aeronautica_civil/media/1756584170_wingo.jpg,7260,Bogotá,05:59 PM,2026-05-09 07:43,Nacional,,Llegada,7
info/aeronautica_civil/media/1756486629_avianca.jpg,8592,Barranquilla,06:40 PM,2026-05-09 07:43,Nacional,,Llegada,7
info/aeronautica_civil/media/1756486757_aeromexico-new.png,754,Ciudad de México,06:55 PM,2026-05-09 07:43,Internacional,,Llegada,7
info/aeronautica_civil/media/1756486644_satena.png,8821,Tumaco,07:00 PM,2026-05-09 07:43,Nacional,,Llegada,7
info/aeronautica_civil/media/1756486629_avianca.jpg,9257,Bogotá,07:05 PM,2026-05-09 07:43,Nacional,,Llegada,7
info/aeronautica_civil/media/1756486763_jetsmart.jpg,5536,Cartagena,07:20 PM,2026-05-09 07:43,Nacional,,Llegada,7
info/aeronautica_civil/media/1756486723_latam.jpg,4079,Bogotá,07:25 PM,2026-05-09 07:43,Nacional,,Llegada,7
info/aeronautica_civil/media/1756584170_wingo.jpg,7260,Bogotá,05:59 PM,2026-05-09 07:43,Nacional,,Llegada,8
info/aeronautica_civil/media/1756486629_avianca.jpg,8592,Barranquilla,06:40 PM,2026-05-09 07:43,Nacional,,Llegada,8
info/aeronautica_civil/media/1756486757_aeromexico-new.png,754,Ciudad de México,06:55 PM,2026-05-09 07:43,Internacional,,Llegada,8
info/aeronautica_civil/media/1756486644_satena.png,8821,Tumaco,07:00 PM,2026-05-09 07:43,Nacional,,Llegada,8
info/aeronautica_civil/media/1756486629_avianca.jpg,9257,Bogotá,07:05 PM,2026-05-09 07:43,Nacional,,Llegada,8
info/aeronautica_civil/media/1756486763_jetsmart.jpg,5536,Cartagena,07:20 PM,2026-05-09 07:43,Nacional,,Llegada,8
info/aeronautica_civil/media/1756486723_latam.jpg,4079,Bogotá,07:25 PM,2026-05-09 07:43,Nacional,,Llegada,8
info/aeronautica_civil/media/1756584170_wingo.jpg,7260,Bogotá,05:59 PM,2026-05-09 07:43,Nacional,,Llegada,9
info/aeronautica_civil/media/1756486629_avianca.jpg,8592,Barranquilla,06:40 PM,2026-05-09 07:43,Nacional,,Llegada,9
info/aeronautica_civil/media/1756486757_aeromexico-new.png,754,Ciudad de México,06:55 PM,2026-05-09 07:43,Internacional,,Llegada,9
info/aeronautica_civil/media/1756486644_satena.png,8821,Tumaco,07:00 PM,2026-05-09 07:43,Nacional,,Llegada,9
info/aeronautica_civil/media/1756486629_avianca.jpg,9257,Bogotá,07:05 PM,2026-05-09 07:43,Nacional,,Llegada,9
info/aeronautica_civil/media/1756486763_jetsmart.jpg,5536,Cartagena,07:20 PM,2026-05-09 07:43,Nacional,,Llegada,9
info/aeronautica_civil/media/1756486723_latam.jpg,4079,Bogotá,07:25 PM,2026-05-09 07:43,Nacional,,Llegada,9
info/aeronautica_civil/media/1756584170_wingo.jpg,7260,Bogotá,05:59 PM,2026-05-09 07:43,Nacional,,Llegada,10
info/aeronautica_civil/media/1756486629_avianca.jpg,8592,Barranquilla,06:40 PM,2026-05-09 07:43,Nacional,,Llegada,10
info/aeronautica_civil/media/1756486757_aeromexico-new.png,754,Ciudad de México,06:55 PM,2026-05-09 07:43,Internacional,,Llegada,10
info/aeronautica_civil/media/1756486644_satena.png,8821,Tumaco,07:00 PM,2026-05-09 07:43,Nacional,,Llegada,10
info/aeronautica_civil/media/1756486629_avianca.jpg,9257,Bogotá,07:05 PM,2026-05-09 07:43,Nacional,,Llegada,10
info/aeronautica_civil/media/1756486763_jetsmart.jpg,5536,Cartagena,07:20 PM,2026-05-09 07:43,Nacional,,Llegada,10
info/aeronautica_civil/media/1756486723_latam.jpg,4079,Bogotá,07:25 PM,2026-05-09 07:43,Nacional,,Llegada,10
